source,text
1,@Stevie_SKenergy: @realDonaldTrump @NBCApprentice This show motivates me. Part of my inspiration to #saveSKsocial
1,@JustSoldCom: @realDonaldTrump SO HAPPY #CelebrityApprentice is back on! Thanks Donald for keeping it real!
1,Who do you like - hate so far?
1,"@SarahLynEllis: I'm loving this Celebrity Apprentice season!@realDonaldTrump @ShawnJohnson @IvankaTrump The Donald is the best! #YoureFiredTwitter for Android,@mumlvs2run: @Kateplusmy8 You look fab! They were so lucky to have you in the kitchen _Ÿ˜‰ @realDonaldTrump @ApprenticeNBC Go Kate Go!"""
1,@JoSportsGal:  @BrandiGlanville Too early first episode. @realDonaldTrump season needs to play out. Then I'll let u know. #WorkHard #Win
1,@GlendaKParks: @realDonaldTrump @BrandiGlanville NOT @KenyaMoore! She does nothing but run her mouth!
1,@TheReader23: @realDonaldTrump @BrandiGlanville Brandi for the win
1,@JoseMar87531474: Watching @ApprenticeNBC @nbc @realDonaldTrump is the man...
1,@mariadomenique9: The mens team has better flavors of pies. Interested to see who wins! #CelebApprentice @realDonaldTrump
1,@brendalynwraps: @realDonaldTrump Leeza!!!
1,@CarrieOn2014: @realDonaldTrump @BrandiGlanville Brandi is the BEST!!!!! She deserves it all! #CelebrityApprentice
1,"@TGambinoVent: #CelebrityApprentice @KenyaMoore go home please! @realDonaldTrump plez help! Love the show but she's trying to be @OMAROSATwitter for Android,@KristyHernandez: @realDonaldTrump yay watching my very favorite show Celebrity Apprentice and LOVING it!!_Ÿ˜ç_Ÿ’ƒ"""
1,@briankgarver: @realDonaldTrump like Shawn Johnson and predicting her as season winner!!!!!! _Ÿ‘ç_Ÿ‘ç_Ÿ‘ç
1,"@NaomiEpstein: @realDonaldTrump @ApprenticeNBC Kenya Moore will be omarosa redux. That attitude is boring. She needs to go.Twitter for Android,@OrionTrunk:  @terrellowens is going to go far because he's a media circus. @IanZiering will come close to winning but Shawn can also."""
1,@biggangVH1: @realDonaldTrump love the show! #CelebApprentice
1,"@ACTUALLYDOMINIC: @kevinjonas is on #celebapprentice??? that's it @realDonaldTrump you have a winner... #askkevin #teamkevin all the wayTwitter for Android,@Jwundy: I admire how @kevinjonas is holding himself in the boardroom #TeamKevin @IvankaTrump @realDonaldTrump"""
1,"@remember91808: @RealGilbert and @kevinjonas are the best things about this season of @ApprenticeNBC: Can we keep them around until the endTwitter for Android,@SennieC: @realDonaldTrump all the athletes are doing great!"""
1,"@thatsoundstasty: The baby in the background got hit in the face with flying pie! #poorthing #DidYouSeeThat #CelebApprenticeTwitter for Android,@otowned: @realDonaldTrump Any Real Housewife"""
1,@KimberlySyring: @realDonaldTrump @BrandiGlanville I love Brandi you go girl kick some a$$!!!
1,@amiguiza: @realDonaldTrump I believe in Kevin Jonas!!! he's the best #TeamKevin #AskKevin
1,@ohbehave71: @realDonaldTrump Kenya Moore - hmmmm - Won't be there long. Needs to go. #CelebApprentice
1,@roswell2001: So glad #CelebrityApprentice is back! @realDonaldTrump @kevinjonas @RealGilbert are my favs. Go team vortex!
1,@Prochekhomeinsp: Would be the greatest start to the new Year that I could ever imagine!!! Happy New Year Mr. Trump and Team!!!
1,@ShortCakesSheep: @realDonaldTrump @roswell2001 @kevinjonas @RealGilbert agree!!!
1,This boardroom gets CRAZY! These people are wild
1,@thecccowanshow: @realDonaldTrump @NaomiEpstein @ApprenticeNBC KENYA MOORE ROCKS! WATCH HER WORK HER STUFF!!!
1,@cav1301: @realDonaldTrump Kenya Moore is an ass!! Hope she is fired FIRST!!!
1,How do you like the boardroom so far?
1,@MikeDemkiw: @realDonaldTrump Kevin Jonas is a very strong player surprised.
1,@salans77: @realDonaldTrump great boardroom so far. Love the tension
1,@jonas_brotha: @realDonaldTrump @KenyaMoore just goes for the throat
1,@scdaily4: @realDonaldTrump loving it....glad you're back. But we're wondering who is this season's @GaryBussey
1,@Mari907: @realDonaldTrump &amp; @IvankaTrump back on my TV! I'm a happy gal âù_ï¸è_Ÿ˜ç
1,@Terramarkov16: @Terramarkov16 @realDonaldTrump: I think the ladies team will fire the blonde who dissed her team. Respect. #Apprentice
1,@Mag_0909: @realDonaldTrump intense but I would expect nothing less
1,@Jwundy: Kevin is bringing it in the boardroom @kevinjonas @IvankaTrump @realDonaldTrump
1,@TEisen229: @realDonaldTrump great cast! Girls are going to win!
1,@CrueBabe: @realDonaldTrump I love the boardroom. Awkward atmosphere right now. #CelebApprentice
1,@TimothyMcManus4: @realDonaldTrump Very intense!! #CelebApprentice
1,@queenOFspice: I follow @realDonaldTrump in hopes he'll drop some knowledge that'll make me as rich as him
1,@Lanae_Jonas22: @realDonaldTrump it is interesting so far
1,@michaelsdevine: Can't wait to see what team lost so the gloves can come off! #CelebApprentice @ApprenticeNBC @realDonaldTrump
1,@srqsweetheart: It's about to go down! Buckle up! @realDonaldTrump #CelebApprentice
1,"@FTESTERNBTLSFAN: @realDonaldTrump wonder who gets FIRED"" hmmm"""
1,"@Jwundy: The iconic You're fired"" is coming @realDonaldTrump can't wait."""
1,@rchunter: @realDonaldTrump tells the guys go back to @TrumpTowerNY and watch if you want to it won't be pretty. #CelebApprentice
1,@GodIgetitnow: @realDonaldTrump it will not be pretty (Keisha YOUR FIRED) #CelebApprentice
1,@DerrickBolenVA: @realDonaldTrump has built up a great show #CelebApprentice
1,@eyetweethere: @realDonaldTrump best part of the show
1,"@MNBosstom: @DonaldJTrumpJr @realDonaldTrump I really needed to watch the Apprentice tonight!! Great show!! Motivates me!! #CelebApprenticeTwitter for Android,@AnthonyJamesTV: @GeraldoRivera and @kevinjonas killed it! @ApprenticeNBC @realDonaldTrump @nbc #CelebApprentice"""
1,@ArizonaNFLFan: .@realDonaldTrump I love celebrity apprentice. The storylines are much better than NFL playoff football.
1,@miasmiiles: @realDonaldTrump #trumpforpresident2016
1,@SarahSS555: @realDonaldTrump is my idol... #CelebApprentice Thanks.
1,"@The_Paul08: There's nothing more relaxing than a Trump Tower suite!! @TrumpChicago @TrumpCollection #CelebApprentice @realDonaldTrumpTwitter for Android,@Christine_8888: @realDonaldTrump Brandi for the win!!"""
1,@MarshaABrady: @realDonaldTrump @TheApprentice9 I hope it's Kate I don't want to look at her again on this show or any other.... Sorry
1,"@keithwmcandrew: Who will @realDonaldTrump fire?!? Will there be a #catfight in the boardroom?!? @ApprenticeNBC #CelebrityApprenticeTwitter for Android,@NicoleAMarin: Mondays are about to become my favourite night of the week! #CelebrityApprentice @realDonaldTrump @IvankaTrump"
1,@UglyWewe: Love @realDonaldTrump asking @BrandiGlanville for the truth! He knows he'll get it!
1,@luvsleopard2: @billybush @realDonaldTrump the music always gives it such a dramatic effect_Ÿ˜±
1,@AlexPerrry: First time watching Celebrity Apprentice and I'm really enjoying it! @realDonaldTrump
1,@NicoleAMarin: You're Fired! It's music to my ears when it comes from @realDonaldTrump mouth! Why a commercial?!? #CelebrityApprentice
1,@irwin171: #CelebApprentice just turned me into a @kevinjonas fan. Love the new season!! @realDonaldTrump
1,@bethdelany: @realDonaldTrump Jamie brought in no money? her pie recipe brought in $25K #CelebrityApprentice
1,Hope you liked it. Tune in tomorrow night at 8:00 and 9:00 for two episodes and two boardrooms! Will be a great evening of television!
1,@virgiegurl: @ApprenticeNBC @realDonaldTrump AWESOME TEAMS TONIGHT. ..!!! PRICELESS
1,"@RockyRoad_: Nothing like hearing @realDonaldTrump say YOU'RE FIRED"" twice in one night! Tomorrow Night 8/7 CST!_Ÿ‘__Ÿ˜œ #CelebApprentice"
1,@loribuckmajor: @realDonaldTrump @BrandiGlanville is as real as they come. Love her #CelebApprentice
1,@ASEDawg89: @realDonaldTrump so many women to fire. Gonna be a cat fight
1,@CrueBabe: @realDonaldTrump I loved it. #CelebApprentice
1,@TravyJ1: I wonder how it would be growing up with @realDonaldTrump as a father
1,@sweetiee1s: @sweetiee1s: @ACTUALLYDOMINIC @realDonaldTrump @peachespulliam I agree. Kate needed the boot. Her time will come
1,@iiarwatch: @realDonaldTrump You fired the right woman tonight. Kenya &amp; Brandi each must go. The lowest of the low.
1,This show was taped just before the terrible Bill Cosby revelations came to light.She still should have asked him for money-goes to charity.
1,@rachelredl: Ahhhhhh really would do anything to be on The Apprentice @realDonaldTrump
1,"@RickyV_ADW: Gotta say I have @kevinjonas winning it all @realDonaldTrump social media strategy and seems to know how to spin things.Twitter for Android,@ameliasg: @ameliasg @piersmorgan @ApprenticeNBC  @IvankaTrump does anyone else think some faces look like Picasso sculptures?"""
1,@JulieMyra: @BrandiGlanville @realDonaldTrump you go. Love your spirit. F the haters
1,@axpeters17: @kevinjonas is the one to beat on @ApprenticeNBC @realDonaldTrump #CelebApprentice
1,@missklamert:I HATE @realDonaldTrump ! But I have to watch this season of #TheApprentice because it has such an awesome cast. #TeamKenya !
1,@CandidlyNic: @BrandiGlanville You were awesome! Love your loyalty to team members like Keisha. &lt;3 You!! @KathySimovski @realDonaldTrump
1,"@bigdogg1974: @realDonaldTrump @Kateplusmy8 Kate looked great and did an amazing job even though no dough she worked very hard! #truthTwitter for Android,@CeeCee928:  @MsVivicaFox PLS NOT @BrandiGlanville OR @KenyaMoore JUST BCUZ U R DRAMA DOESNT MEAN U SHOULD hEARN THE TITLE OR PRAISE"""
1,@ACLrecoveryCLUB: @realDonaldTrump I know you went back and forth w/ Cuban - I'm convinced @ApprenticeNBC is the best show on tv!
1,@Kbrozz26: @realDonaldTrump I don't watch a lot of T.V but couldn't wait for Celebrity Apprentice. It was great!!
1,@BraunMatt: Really enjoyed #CelebApprentice tonight. Looking forward to a couple new episodes tomorrow night! @realDonaldTrump
1,@summer0001: Why is @realDonaldTrump so amazing? Love watching #CelebApprentice
1,@SparkleAWin: DonaldTrump Alot of good looking guys but what's important is R they #CelebApprentice material Can't wait 2 C them in action
1,@DanaDelikat:  @ApprenticeNBC. Surprised how accurate and likable the Jonas brother is pointing out Heraldo's #bighead #big #ego poster
1,@AnnieDrews:  So glad #CelebApprentice is back! Looks like it will be a fantastic year! Thanks for a great show. Got out of hosp in time!
1,@ShortCakesSheep: I am rooting for @RealGilbert @kevinjonas but if I was on the #Apprentice I would call my friend @limbaugh to help
1,@wooten_smith:  @RickyV_ADW @kevinjonas I agree kevin seems to have what it takes and he seems very classy. Wasnt a fan b4 but am now.
1,@Shannonfamini: @realDonaldTrump can't wait for tomorrow's episodes! #CelebApprentice #TRUMP
1,@RRodriguez62: @realDonaldTrump First time I watched the start of the season. Enjoyed the show will tune in tomorrow night.
1,"@tmh813: @realDonaldTrump prove that you actually control this account and I will tell everyone I know about the show #takeaselfieTwitter for Android,@KennyKing4: @JustinTGee #CelebApprentice is one of my fav shows!!! Wanna live tweet tmrw night? #datenight @realDonaldTrump @IvankaTrump"""
1,I will be LIVE tweeting tomorrow (MONDAY) nights TWO shows starting at 8:00 P.M. They are both great.
1,@sixtoluis57: @ameliasg @piersmorgan @ApprenticeNBC @IvankaTrump No comment you can see every pore in todays TV screens. U look mavelous
1,@Aschultz2014: @realDonaldTrump Best @ApprenticeNBC cast ever!! Love @IanZiering and so glad @Kateplusmy8 wasn't fired! #notlazy
1,"@erik. My newsfeed is nothing but DonaldTrump n @RealGilbert #CelebrityApprentice! But that's alright with me cuz I love them. Great minds.Twitter for Android,@JordonBruno: I really love @realDonaldTrump"""
1,@Linsinn: @realDonaldTrump Yes! #CelebrityApprentice on now been waiting for months! #CelebApprentice
1,@Rongtr: @realDonaldTrump Great show! My money is on Sig Hanson or Geraldo Rivera!
1,@BJohnson683: @IvankaTrump @realDonaldTrump the first show of #CelebApprentice was amazing. Can't wait to see next week's episode.
1,@BillyMayfield: @realDonaldTrump great show tonight! Can't wait till tomorrow night!!
1,@christinaaa28: #CelebApprentice is baaaaaack! @realDonaldTrump @IvankaTrump
1,@missskin604: It's time!! #CelebApprentice @realDonaldTrump #westcoast
1,I will be on @foxandfriends at 7:00 A.M. Will be talking about many things including The Apprentice!
1,@tokindaddy: @realDonaldTrump your the man Don. All the best...
1,"@nelly_quarez: .@realDonaldTrump #CelebApprentice was awesome yesterday_Ÿ”¥. Can't wait to see a new episode tonight! @kevinjonas we are hereTwitter for Android,Remember tonight (Monday) the second and third episodes of The Apprentice are on at 8:00 &amp; 9:00. Great ratings last night 18 - 49. FUN!Twitter for Android,@BrandiGlanville: TONIGHT ""Celebrity Apprentice"" 8/7c Ep. 2 &amp; 3! 2 Hours of Back to Back Competition @ApprenticeNBC http://t.co/tT0BbfX0Pv"""
1,@californguy: #TeamBrandi I'm glad u have a no BS person on there.Hope she stays! @ApprenticeNBC @Andy @Bravotv http://t.co/7Eu4ewAUom
1,@dcfoodsafety: @realDonaldTrump Mr. Trump it's going to be a very interesting and amusing season I am already hooked!
1,@KarileaKennedy7: @realDonaldTrump @BrandiGlanville @ApprenticeNBC LOVE Brandi is on your show!
1,@Nightingalicing: @californguy @ApprenticeNBC @Andy @Bravotv The ONLY reason I'm watching network tv tonight_Ÿ˜‰ is @BrandiGlanville.
